request_id,arrival time,timestamp,model,batch_size,latency (s),processing time (s),throughput (qps)
7073314e,122391.664381083,20240918_130058,distilgpt2-124m,16,5.925,2.638,6.065
e1b1c0bb,122391.842971375,20240918_130058,distilgpt2-124m,16,5.747,2.638,6.065
672b6d85,122392.10738525,20240918_130058,distilgpt2-124m,16,5.482,2.638,6.065
21b8933c,122392.347531583,20240918_130058,distilgpt2-124m,16,5.242,2.638,6.065
9e5cf75e,122392.653848541,20240918_130058,distilgpt2-124m,16,4.936,2.638,6.065
28755809,122390.671241583,20240918_130102,gpt2-124m,16,10.736,3.721,4.3
de25da8d,122390.730777041,20240918_130102,gpt2-124m,16,10.677,3.721,4.3
1cd76682,122390.909054291,20240918_130102,gpt2-124m,16,10.498,3.721,4.3
af379bae,122391.267740583,20240918_130102,gpt2-124m,16,10.14,3.721,4.3
15060dc8,122391.533581041,20240918_130102,gpt2-124m,16,9.874,3.721,4.3
0113a4a5,122391.533647916,20240918_130102,gpt2-124m,16,9.874,3.721,4.3
07cb2a0f,122391.82617825,20240918_130102,gpt2-124m,16,9.581,3.721,4.3
1b67a88a,122392.487938333,20240918_130102,gpt2-124m,16,8.92,3.721,4.3
80dd39cb,122392.570666625,20240918_130102,gpt2-124m,16,8.837,3.721,4.3
fe775500,122392.694082583,20240918_130102,gpt2-124m,16,8.713,3.721,4.3
6b86df7e,122392.704340166,20240918_130102,gpt2-124m,16,8.703,3.721,4.3
a007d95c,122393.019318041,20240918_130102,gpt2-124m,16,8.388,3.721,4.3
305f91fe,122393.649737333,20240918_130102,gpt2-124m,16,7.758,3.721,4.3
b7eb8535,122394.530966125,20240918_130102,gpt2-124m,16,6.876,3.721,4.3
0dfbdd3d,122394.6391255,20240918_130102,gpt2-124m,16,6.768,3.721,4.3
fdb8af49,122394.786245666,20240918_130102,gpt2-124m,16,6.621,3.721,4.3
cbabf949,122392.896476333,20240918_130104,distilgpt2-124m,16,11.126,2.54,6.299
5875f657,122393.015190708,20240918_130104,distilgpt2-124m,16,11.007,2.54,6.299
44bbfc25,122393.552321166,20240918_130104,distilgpt2-124m,16,10.47,2.54,6.299
09280b02,122393.775211291,20240918_130104,distilgpt2-124m,16,10.247,2.54,6.299
4bbc91f7,122393.874518916,20240918_130104,distilgpt2-124m,16,10.148,2.54,6.299
c951c71e,122394.197063291,20240918_130104,distilgpt2-124m,16,9.826,2.54,6.299
45d85c75,122394.4720775,20240918_130104,distilgpt2-124m,16,9.551,2.54,6.299
b6d78a5b,122394.597389583,20240918_130104,distilgpt2-124m,16,9.425,2.54,6.299
caf50dcf,122394.6788,20240918_130104,distilgpt2-124m,16,9.344,2.54,6.299
74a86dd5,122394.969793666,20240918_130104,distilgpt2-124m,16,9.053,2.54,6.299
bd4bf8fb,122395.136789625,20240918_130104,distilgpt2-124m,16,8.886,2.54,6.299
a4f01431,122395.7168415,20240918_130104,distilgpt2-124m,16,8.306,2.54,6.299
76a4eb51,122395.9868725,20240918_130104,distilgpt2-124m,16,8.036,2.54,6.299
1e49a8aa,122396.008517833,20240918_130104,distilgpt2-124m,16,8.014,2.54,6.299
7a103cd8,122396.560289916,20240918_130104,distilgpt2-124m,16,7.462,2.54,6.299
3a50cc52,122396.6630245,20240918_130104,distilgpt2-124m,16,7.36,2.54,6.299
ec0a5631,122389.482337166,20240918_130113,gpt2medium-355m,16,23.803,9.131,1.752
b2d132d1,122389.791394333,20240918_130113,gpt2medium-355m,16,23.494,9.131,1.752
ffc89410,122390.336471958,20240918_130113,gpt2medium-355m,16,22.949,9.131,1.752
90764a39,122390.770591708,20240918_130113,gpt2medium-355m,16,22.515,9.131,1.752
16868c7f,122391.0160795,20240918_130113,gpt2medium-355m,16,22.27,9.131,1.752
52dd4046,122391.105159125,20240918_130113,gpt2medium-355m,16,22.18,9.131,1.752
9b3f4669,122391.167555833,20240918_130113,gpt2medium-355m,16,22.118,9.131,1.752
6c9d2979,122391.511397208,20240918_130113,gpt2medium-355m,16,21.774,9.131,1.752
dcb60d0d,122391.557531166,20240918_130113,gpt2medium-355m,16,21.728,9.131,1.752
e6d3032a,122391.894773916,20240918_130113,gpt2medium-355m,16,21.391,9.131,1.752
c35cd83a,122391.98762075,20240918_130113,gpt2medium-355m,16,21.298,9.131,1.752
e3634a6c,122392.499570875,20240918_130113,gpt2medium-355m,16,20.786,9.131,1.752
43a1922a,122392.880551625,20240918_130113,gpt2medium-355m,16,20.405,9.131,1.752
c503da80,122393.324570666,20240918_130113,gpt2medium-355m,16,19.961,9.131,1.752
ae6385b7,122393.970572458,20240918_130113,gpt2medium-355m,16,19.315,9.131,1.752
9ca09c78,122394.368528958,20240918_130113,gpt2medium-355m,16,18.917,9.131,1.752
